constituency_code,candidate,party,constituency,state,winner_votes
S0378,DR. RANOJ PEGU,Bharatiya Janata Party,DHEMAJI,ASSAM,83649
S0348,BIKAN CHANDRA DEKA,Bharatiya Janata Party,TANGLA,ASSAM,84309
S0366,RITU BARAN SARMAH,Bharatiya Janata Party,BARCHALLA,ASSAM,84495
S0347,CHARAN BORO,Bodoland Peoples Front,MAZBAT,ASSAM,84718
S0370,PALLAB LOCHAN DAS,Bharatiya Janata Party,BISWANATH,ASSAM,84862
S0386,PULOK GOHAIN,Bharatiya Janata Party,TINSUKIA,ASSAM,85184
S0376,MANAB DEKA,Bharatiya Janata Party,LAKHIMPUR,ASSAM,85726
S0310,JIBESH ROY,Asom Gana Parishad,BILASIPARA,ASSAM,85937
S0382,RUPESH GOWALA,Bharatiya Janata Party,DOOMDOOMA,ASSAM,86009
S0383,BHASKAR SHARMA,Bharatiya Janata Party,MARGHERITA,ASSAM,86349
S0396,AKHIL GOGOI,Raijor Dal,SIBSAGAR,ASSAM,86521
S0375,DR. JOY PRAKASH DAS,Indian National Congress,NOWBOICHA,ASSAM,86981
S0371,MUNINDRA DAS (BAPTI),Bharatiya Janata Party,BEHALI,ASSAM,87224
S0392,TARANGA GOGOI,Bharatiya Janata Party,NAHARKATIA,ASSAM,87768
S0342,MANESWAR BRAHMA,Bodoland Peoples Front,BAKSA,ASSAM,88820
S0391,BIMAL BORAH,Bharatiya Janata Party,TINGKHONG,ASSAM,88912
S0387,BINOD HAZARIKA,Bharatiya Janata Party,CHABUA-LAHOWAL,ASSAM,89202
S0343,BISWAJIT DAIMARY,Bharatiya Janata Party,TAMULPUR,ASSAM,89308
S0335,DIPLU RANJAN SARMAH,Bharatiya Janata Party,NEW GUWAHATI,ASSAM,89636
S0395,SUSANTA BORGOHAIN,Bharatiya Janata Party,DEMOW,ASSAM,89681
S03119,AMINUL HAQUE LASKAR,Indian National Congress,SONAI,ASSAM,89957
S03104,MRIDUL KUMAR DUTTA,Bharatiya Janata Party,DERGAON,ASSAM,90049
S0341,THANESWAR BASUMATARY,Bodoland Peoples Front,MANAS,ASSAM,90060
S0399,BIKASH SAIKIA,Asom Gana Parishad,TEOK,ASSAM,90368
S03110,NISO TERANGPI,Bharatiya Janata Party,DIPHU,ASSAM,90866
S03106,MRINAL SAIKIA,Bharatiya Janata Party,KHUMTAI,ASSAM,91127
S0377,SHRI NABA KUMAR DOLEY,Bharatiya Janata Party,DHAKUAKHANA,ASSAM,92123
S0313,PABITRA RABHA,Bharatiya Janata Party,GOALPARA WEST,ASSAM,92216
S0324,DIPAK KUMAR DAS,Asom Gana Parishad,BARPETA,ASSAM,94086
S03107,BISWAJIT PHUKAN,Bharatiya Janata Party,SARUPATHAR,ASSAM,96341
S0372,UTPAL BORAH,Bharatiya Janata Party,GOHPUR,ASSAM,96582
S0381,BOLIN CHETIA,Bharatiya Janata Party,SADIYA,ASSAM,97087
S03125,KRISHNENDU PAUL,Bharatiya Janata Party,PATHARKANDI,ASSAM,98101
S0344,VICTOR KUMAR DAS,Bharatiya Janata Party,GORESWAR,ASSAM,98108
S0397,MAYUR BORGOHAIN,Bharatiya Janata Party,NAZIRA,ASSAM,98198
S0349,PARAMANANDA RAJBONGSHI,Bharatiya Janata Party,SIPAJHAR,ASSAM,99720
S0350,NILIMA DEVI,Bharatiya Janata Party,MANGALDAI,ASSAM,100078
S0315,TANKESWAR RABHA,Bharatiya Janata Party,DUDHNAI,ASSAM,100353
S03120,AMIYA KANTI DAS,Bharatiya Janata Party,DHOLAI,ASSAM,100634
S0340,CHANDRAMOHAN PATOWARY,Bharatiya Janata Party,TIHU,ASSAM,100855
S0319,PANIRAM BRAHMA,Bodoland Peoples Front,SIDLI CHIRANG,ASSAM,101275
S0336,VIJAY KUMAR GUPTA,Bharatiya Janata Party,GUWAHATI CENTRAL,ASSAM,101297
S0314,ABUL KALAM RASHEED ALAM,Indian National Congress,GOALPARA EAST,ASSAM,102205
S03103,AJANTA NEOG,Bharatiya Janata Party,GOLAGHAT,ASSAM,102212
S03117,KISHOR NATH,Bharatiya Janata Party,BORKHOLA,ASSAM,102775
S03115,RAJDEEP GOALA,Bharatiya Janata Party,UDHARBOND,ASSAM,103331
S0333,PRADYUT BORDOLOI,Bharatiya Janata Party,DISPUR,ASSAM,103337
S03109,LUNSING TERON,Bharatiya Janata Party,HOWRAGHAT,ASSAM,106229
S0317,MD. NURUL ISLAM,Indian National Congress,SRIJANGRAM,ASSAM,106716
S0388,PRASANTA PHUKAN,Bharatiya Janata Party,DIBRUGARH,ASSAM,106803
S0328,RAJU MESH,Bharatiya Janata Party,BOKO-CHAYGAON,ASSAM,107113
S0331,BHABESH KALITA,Bharatiya Janata Party,RANGIA,ASSAM,107929
S0329,HIMANGSHU SHEKHAR BAISHYA,Bharatiya Janata Party,PALASBARI,ASSAM,109301
S036,ASHWINI RAY SARKAR,Bharatiya Janata Party,GOLAKGANJ,ASSAM,110533
S03116,KAMALAKHYA DEY PURKAYASTHA,Bharatiya Janata Party,KATIGORAH,ASSAM,110758
S03118,DR. RAJDEEP ROY,Bharatiya Janata Party,SILCHAR,ASSAM,110758
S0369,PADMA HAZARIKA,Bharatiya Janata Party,NADUAR,ASSAM,111125
S0316,BHUPEN ROY,Bharatiya Janata Party,ABHAYAPURI,ASSAM,111154
S0361,SASHI KANTA DAS,Bharatiya Janata Party,RAHA,ASSAM,111360
S0365,ASHOK SINGHAL,Bharatiya Janata Party,DHEKIAJULI,ASSAM,111880
S0338,NARAYAN DEKA,Bharatiya Janata Party,BARKHETRI,ASSAM,113001
S0321,RANJEET KUMAR DASS,Bharatiya Janata Party,BHOWANIPUR-SORBHOG,ASSAM,113069
S0322,SHERMAN ALI AHMED,All India Trinamool Congress,MANDIA,ASSAM,113480
S039,WAZED ALI CHOUDHURY,Indian National Congress,BIRSING JARUA,ASSAM,113901
S0360,RUPAK SARMAH,Bharatiya Janata Party,NAGAON-BATADRABA,ASSAM,113958
S0364,SIBU MISRA,Bharatiya Janata Party,LUMDING,ASSAM,115330
S0334,DR. TAPAN DAS,Asom Gana Parishad,DIMORIA,ASSAM,116058
S0359,JITU GOSWAMI,Bharatiya Janata Party,BARHAMPUR,ASSAM,117127
S0354,RAMA KANTA DEWRI,Bharatiya Janata Party,MORIGAON,ASSAM,117942
S038,BABY BEGUM,Indian National Congress,DHUBRI,ASSAM,118362
S0339,JAYANTA MALLABARUAH,Bharatiya Janata Party,NALBARI,ASSAM,118611
S03121,MILON DAS,Bharatiya Janata Party,HAILAKANDI,ASSAM,119591
S0362,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front,BINNAKANDI,ASSAM,119721
S03123,JAKARIA AHMED,Indian National Congress,KARIMGANJ NORTH,ASSAM,122356
S03114,KAUSHIK RAI,Bharatiya Janata Party,LAKHIPUR,ASSAM,125302
S0337,HIMANTA BISWA SARMA,Bharatiya Janata Party,JALUKBARI,ASSAM,127151
S0380,BHUBON PEGU,Bharatiya Janata Party,JONAI,ASSAM,128940
S0355,MEHBOOB MUKTAR,Raijor Dal,DHING,ASSAM,131182
S03126,BIJOY MALAKAR,Bharatiya Janata Party,RAM KRISHNA NAGAR,ASSAM,134013
S0356,NURUL HUDA,Indian National Congress,RUPAHIHAT,ASSAM,135682
S03124,AMINUR RASHID CHOUDHURY,Indian National Congress,KARIMGANJ SOUTH,ASSAM,137257
S0323,ABDUR RAHIM AHMED,Indian National Congress,CHENGA,ASSAM,139167
S0363,SHILADITYA DEV,Bharatiya Janata Party,HOJAI,ASSAM,144361
S0358,TANZIL HUSSAIN,Indian National Congress,SAMAGURI,ASSAM,145212
S03122,ZUBAIR ANAM MAZUMDER,Indian National Congress,ALGAPUR-KATLICHERRA,ASSAM,145661
S0351,MAZIBUR RAHMAN,All India United Democratic Front,DALGAON,ASSAM,147555
S0327,REKIBUDDIN AHMED,Indian National Congress,CHAMARIA,ASSAM,149720
S0352,PIJUSH HAZARIKA,Bharatiya Janata Party,JAGIROAD,ASSAM,155129
S0325,JAKIR HUSSAIN SIKDAR,Indian National Congress,PAKABETBARI,ASSAM,157748
S0312,AFTAB UDDIN MOLLAH,Indian National Congress,JALESHWAR,ASSAM,162174
S0311,Mohibur Rohman (Bappy),Indian National Congress,MANKACHAR,ASSAM,169036
S0353,DR ASIF MOHAMMAD NAZAR,Indian National Congress,LAHARIGHAT,ASSAM,169212
S037,ABDUS SOBAHAN ALI SARKAR,Indian National Congress,GAURIPUR,ASSAM,182971
